no-framework: 941.20:    31136: 0.000816: 1
tipsy-0.10: 151.22:    40864: 0.013672: 18
fatfree-3.5: 191.62:    73960: 0.005139: 9
slim-2.6: 134.64:    45728: 0.018968: 24
ci-3.0: 42.75:    47936: 0.029706: 26
nofuss-1.2: 159.58:    47216: 0.008147: 6
slim-3.0: 57.89:    76576: 0.025089: 56
lumen-5.1: 89.58:   221896: 0.012224: 32
ze-1.0: 48.92:   149536: 0.024459: 64
radar-1.0-dev: 42.40:    87256: 0.031434: 73
yii-2.0: 63.54:   511976: 0.020642: 49
silex-1.3: 58.46:   103120: 0.026938: 58
cygnite-1.3: 29.07:   175672: 0.048073: 70
fuel-1.8-dev: 30.30:   123128: 0.043546: 54
phpixie-3.2: 16.85:   286152: 0.083052: 164
aura-2.0: 48.15:   166232: 0.025206: 68
cake-3.1: 34.88:   171256: 0.049870: 84
symfony-2.7: 22.98:   667248: 0.062403: 103
zf-2.5: 14.64:   602112: 0.097132: 208
