phalcon-2.0: 774.64:   282936: 0.001357: 5
ice-1.0: 680.57:   275560: 0.002463: 4
tipsy-0.10: 762.23:   336568: 0.000640: 18
fatfree-3.5: 365.25:   443728: 0.002854: 9
slim-2.6: 761.72:   499712: 0.000745: 24
ci-3.0: 97.54:   451096: 0.029233: 26
nofuss-1.2: 343.89:   619496: 0.010555: 6
slim-3.0: 502.51:   647744: 0.001052: 56
bear-1.0: 202.53:   791424: 0.008215: 98
lumen-5.1: 303.53:   750624: 0.005721: 32
ze-1.0: 216.34:   822864: 0.011665: 64
radar-1.0-dev: 253.12:   738608: 0.008413: 73
yii-2.0: 304.98:  1399392: 0.004463: 49
silex-1.3: 319.21:   733952: 0.003194: 58
cygnite-1.3: 71.28:   779760: 0.026458: 70
fuel-1.8-dev: 38.59:   729960: 0.116497: 55
phpixie-3.2: 32.26:  1329368: 0.005880: 164
aura-2.0: 110.17:   932784: 0.017762: 68
cake-3.1: 92.69:  1383696: 0.016896: 84
symfony-2.7: 15.94:  2735352: 0.014343: 103
laravel-5.1: 79.35:  2637888: 0.054929: 38
zf-2.5: 2.08:  3069536: 0.049335: 209
typo3f-3.0: 0.32:  6553744: 2.795679: 272
