phalcon-2.0: 1418.87:   524288: 0.001547
ice-1.0: 1182.30:   524288: 0.001502
slim-2.6: 795.78:   524288: 0.001558
codeigniter-3.0: 719.76:   524288: 0.002757
slim-3.0: 544.03:   786432: 0.003317
bear-1.0: 449.94:  1048576: 0.002473
yii-2.0: 368.59:  1835008: 0.002750
silex-1.2: 354.93:  1048576: 0.006600
cygnite-1.3: 354.57:   786432: 0.002364
lumen-5.0: 350.33:  1310720: 0.002633
fuel-1.8-dev: 310.30:   786432: 0.004813
cake-3.0: 262.46:  1310720: 0.003832
aura-2.0: 210.57:  1048576: 0.005839
symfony-2.7: 95.72:  3670016: 0.024839
laravel-5.1: 82.22:  2883584: 0.038352
zf-2.4: 69.53:  3407872: 0.031423
typo3-flow-2.3: 39.59:  5505024: 0.063735
